CNTR_BN_CODE,CNTR_CODE
1,AQ
2,AQ
3,AQ
4,AQ
5,AQ
6,AQ
7,AQ
8,AQ
9,AQ
10,AQ
11,AQ
12,AQ
13,AQ
14,AQ
15,AQ
16,AQ
17,AQ
18,AQ
19,AQ
20,AQ
21,AQ
22,AQ
23,AQ
24,AQ
25,AQ
26,AQ
27,AQ
28,AQ
29,AQ
30,AQ
31,AQ
32,AQ
33,AQ
34,AQ
35,AQ
36,AQ
37,AQ
38,AQ
39,AQ
40,AQ
41,AQ
42,AQ
43,AQ
44,AQ
45,AQ
46,AQ
47,AQ
48,AQ
49,AQ
50,AQ
51,AQ
52,AQ
53,AQ
54,AQ
55,AQ
56,AQ
57,AQ
58,AQ
59,AQ
60,AQ
61,AQ
62,AQ
63,AQ
64,AQ
65,AQ
66,AQ
67,AQ
68,AQ
69,AQ
70,AQ
71,AQ
72,AQ
73,AQ
74,AQ
75,AQ
76,AQ
77,AQ
78,AQ
79,AQ
80,AQ
81,AQ
82,AQ
83,AQ
84,AQ
85,AQ
86,AQ
87,AQ
88,GS
89,GS
90,GS
91,GS
92,GS
93,GS
94,GS
95,AQ
96,CL
97,CL
98,CL
99,CL
100,CL
101,CL
102,CL
103,CL
104,CL
105,AR
106,BV
107,CL
108,AQ
109,AQ
110,AQ
111,AQ
112,AQ
113,AQ
114,AQ
115,AQ
116,AQ
117,AQ
118,AQ
119,AQ
120,AQ
121,AQ
122,AQ
123,AQ
124,AQ
125,AQ
126,AQ
127,AQ
128,AQ
129,AQ
130,AQ
131,AQ
132,AQ
133,AQ
134,AQ
135,AQ
136,AQ
137,AQ
138,AQ
139,AQ
140,AQ
141,AQ
142,AQ
143,AQ
144,AQ
145,AQ
146,AQ
147,AQ
148,AQ
149,AQ
150,AQ
151,AQ
152,VU
153,MG
154,WF
155,CK
156,VU
157,FR
158,FJ
159,KM
160,SB
161,AU
162,KM
163,CC
164,AU
165,MG
166,MW
167,CC
168,AU
169,AU
170,SB
171,MW
172,AU
173,AU
174,SB
175,XO
176,AU
177,KM
178,PG
179,PG
180,AU
181,SB
182,AU
183,PG
184,PG
185,AS
186,BO
187,AO
188,BO
189,MW
190,MW
191,SC
192,AU
193,SB
194,PG
195,PG
196,PG
197,AU
198,ID
199,PG
200,MZ
201,MZ
202,ID
203,PF
204,ID
205,CX
206,MU
207,SB
208,SB
209,ID
210,AU
211,SC
212,KI
213,PF
214,PG
215,SB
216,PF
217,CL
218,GS
219,CL
220,GS
221,GS
222,CL
223,CL
224,HM
225,HM
226,CL
227,AR
228,AR
229,NZ
230,CL
231,FK
232,CL
233,FK
234,CL
235,CL
236,FK
237,FK
238,CL
239,FK
240,FK
241,FK
242,NZ
243,CL
244,CL
245,NZ
246,TF
247,TF
248,CL
249,TF
250,CL
251,ZA
252,NZ
253,ZA
254,TF
255,TF
256,TF
257,CL
258,CL
259,AR
260,CL
261,NZ
262,CL
263,CL
264,NZ
265,CL
266,FJ
267,FJ
268,FJ
269,PF
270,BW
271,BW
272,BW
273,FJ
274,FJ
275,VU
276,CL
277,BO
278,PF
279,PF
280,NA
281,PF
282,FJ
283,AU
284,FJ
285,PF
286,NA
287,FJ
288,FJ
289,FJ
290,XO
291,AU
292,AO
293,PF
294,FJ
295,FJ
296,VU
297,MG
298,VU
299,PF
300,FJ
301,PF
302,PF
303,PF
304,VU
305,PF
306,MU
307,FJ
308,AO
309,FJ
310,PF
311,VU
312,AU
313,AU
314,PF
315,PF
316,FJ
317,FJ
318,VU
319,PF
320,AU
321,PF
322,SH
323,VU
324,XO
325,PF
326,PF
327,ZM
328,MZ
329,AU
330,TO
331,AU
332,VU
333,PF
334,VU
335,AU
336,PF
337,PF
338,AU
339,VU
340,PF
341,AU
342,PF
343,VU
344,PF
345,VU
346,AS
347,WF
348,AS
349,VU
350,PF
351,MZ
352,WS
353,VU
354,AU
355,AU
356,VU
357,VU
358,WS
359,AU
360,VU
361,AU
362,AU
363,ID
364,CL
365,NZ
366,NZ
367,AU
368,CL
369,AU
370,AU
371,CL
372,CL
373,CL
374,CL
375,AU
376,CL
377,CL
378,NZ
379,NZ
380,AU
381,NZ
382,AU
383,AU
384,AU
385,AR
386,AU
387,SH
388,AR
389,AU
390,AU
391,AR
392,AR
393,AR
394,AU
