lon,lat,url,datetime,avr_prediction_conf
27.60687778,39.18436834,http://pbs.twimg.com/media/D6Y3jG8WAAAT38Q.jpg,2019-05-1221:00:51.988475,0.5073977708816528
5.39468598,43.26969968,http://pbs.twimg.com/media/D6Y3bavWAAAZ7ux.jpg,2019-05-1221:01:07.513046,0.5155808329582214
-71.4677572,42.9981018,http://pbs.twimg.com/media/D6Y3udAX4AA1ji0.jpg,2019-05-1221:01:40.541299,0.5558807253837585
32.8256037,39.92453621,http://pbs.twimg.com/media/D6Y32CjXsAAtb9V.jpg,2019-05-1221:02:09.032163,0.5343136787414551
-1.2328819,51.7248487,http://pbs.twimg.com/media/D6Y33JxXoAE_8zG.jpg,2019-05-1221:02:13.478267,0.5855405330657959
-1.2328819,51.7248487,http://pbs.twimg.com/media/D6Y4GGvWwAMpX8V.jpg,2019-05-1221:03:14.655634,0.5931316018104553
-84.87355047,39.20119112,http://pbs.twimg.com/media/D6Y4GOVWAAIbOfn.jpg,2019-05-1221:03:15.731980,0.5173497200012207
-98.97049915,18.91478488,http://pbs.twimg.com/media/D6Y4HKpX4AI_i7C.jpg,2019-05-1221:03:19.345681,0.5862269997596741
27.13492423,38.32489808,http://pbs.twimg.com/media/D6Y4QyrXkAUUouT.jpg,2019-05-1221:03:58.762465,0.521462082862854
29.13219543,41.11082288,http://pbs.twimg.com/media/D6Y4RxhWkAA3-C_.jpg,2019-05-1221:04:03.049172,0.7859662175178528
-3.2354592,55.9376499,http://pbs.twimg.com/media/D6Y4TV9WwAE1IbO.jpg,2019-05-1221:04:12.135481,0.5857266187667847
-1.2328819,51.7248487,http://pbs.twimg.com/media/D6Y4UigWwAEMQ9m.jpg,2019-05-1221:04:13.788289,0.7750301957130432
24.84482078,60.30840336,http://pbs.twimg.com/media/D6Y4gxcXoAA9cl6.jpg,2019-05-1221:05:04.233324,0.6132088899612427
-87.70665798,41.94540405,http://pbs.twimg.com/media/D6Y4bwlWwAAMzxY.jpg,2019-05-1221:05:07.482576,0.5789591670036316
24.94350582,60.16662927,http://pbs.twimg.com/media/D6Y4h7zXkAE-ZxD.jpg,2019-05-1221:05:09.028994,0.7937701344490051
24.35875207,61.6775512,http://pbs.twimg.com/media/D6Y4iAeW0AE5V3E.jpg,2019-05-1221:05:09.794737,0.7089026570320129
23.74999791,61.31666774,http://pbs.twimg.com/media/D6Y4ichWsAE60Qk.jpg,2019-05-1221:05:11.130177,0.5114286541938782
-1.2328819,51.7248487,http://pbs.twimg.com/media/D6Y4jaEW4AYPcbq.jpg,2019-05-1221:05:14.980726,0.6032755374908447
-43.3672671,-22.8370162,http://pbs.twimg.com/media/D6Y4cjYWwAIX0Dw.jpg,2019-05-1221:05:21.824253,0.5290614366531372
14.26352356,40.84967958,http://pbs.twimg.com/media/D6Y5ORaXsAAXjye.jpg,2019-05-1221:08:10.503345,0.8661324381828308
-1.2328819,51.7248487,http://pbs.twimg.com/media/D6Y5Ow-X4AAhFu1.jpg,2019-05-1221:08:12.306761,0.5648393630981445
-87.70677769,41.94525146,http://pbs.twimg.com/media/D6Y5RSUWkAANZld.jpg,2019-05-1221:08:23.072912,0.6855097413063049
